               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,             0.01623,           0.0097171,            0.012545,             0.80537,              0.8546,             0.89955,             0.82017,            0.015741,           0.0048176,           0.0065264,            0.004796,            0.004796,            0.004796
                 112,            0.017359,           0.0094174,            0.012782,             0.82968,             0.80303,             0.90859,             0.82826,            0.015517,           0.0055792,           0.0056188,           0.0047263,           0.0047263,           0.0047263
                 113,             0.01623,            0.010349,             0.01184,             0.83917,              0.7596,              0.8986,             0.81096,            0.014329,           0.0049327,            0.013047,           0.0046568,           0.0046568,           0.0046568
                 114,            0.015039,           0.0088318,            0.011297,             0.85073,             0.86467,             0.92141,             0.83183,            0.014253,           0.0046616,           0.0095258,           0.0045875,           0.0045875,           0.0045875
                 115,            0.015885,           0.0090413,            0.011078,             0.84067,             0.86102,             0.91658,             0.82691,            0.014254,           0.0045852,             0.01001,           0.0045184,           0.0045184,           0.0045184
                 116,            0.016231,           0.0092961,           0.0099038,             0.80466,             0.86376,             0.90297,             0.81522,            0.014078,           0.0046397,           0.0046295,           0.0044495,           0.0044495,           0.0044495
                 117,            0.016211,           0.0099764,           0.0096069,             0.87754,             0.82047,             0.92125,             0.84285,            0.013408,           0.0046185,           0.0051382,           0.0043809,           0.0043809,           0.0043809
                 118,             0.01563,            0.009183,            0.010844,             0.79367,             0.87371,             0.91407,             0.83615,              0.0139,           0.0047425,           0.0068182,           0.0043126,           0.0043126,           0.0043126
                 119,            0.015882,           0.0092763,             0.01062,             0.81135,             0.90812,             0.92908,             0.84983,            0.014532,           0.0050631,           0.0075905,           0.0042445,           0.0042445,           0.0042445
                 120,            0.014892,           0.0095654,           0.0092131,             0.86667,             0.84608,             0.92834,             0.85293,            0.014965,           0.0048466,           0.0059748,           0.0041768,           0.0041768,           0.0041768
                 121,            0.016893,           0.0095684,            0.010297,              0.8087,             0.86996,             0.91977,             0.84007,            0.014816,            0.005081,           0.0036366,           0.0041094,           0.0041094,           0.0041094
                 122,            0.015213,           0.0095672,            0.008203,             0.84247,             0.84257,              0.9165,               0.836,            0.014112,           0.0049074,            0.003996,           0.0040424,           0.0040424,           0.0040424
                 123,            0.015889,           0.0089891,            0.011028,             0.86113,              0.8664,             0.93201,             0.85677,            0.013324,           0.0050207,           0.0041915,           0.0039757,           0.0039757,           0.0039757
                 124,            0.015525,           0.0095449,           0.0085762,             0.80603,             0.88706,             0.92284,             0.84889,            0.013367,           0.0049813,            0.005753,           0.0039094,           0.0039094,           0.0039094
                 125,            0.015558,           0.0088828,           0.0088582,             0.80857,             0.87102,             0.91621,             0.84185,            0.013992,           0.0050413,           0.0071575,           0.0038434,           0.0038434,           0.0038434
                 126,            0.014952,           0.0089874,           0.0086018,             0.82023,             0.82772,             0.90323,             0.83025,            0.013419,           0.0048979,           0.0071239,           0.0037779,           0.0037779,           0.0037779
                 127,            0.015425,           0.0094938,           0.0088356,             0.89297,             0.79544,             0.90604,              0.8238,            0.013864,            0.005099,           0.0054549,           0.0037128,           0.0037128,           0.0037128
                 128,            0.015634,           0.0090066,           0.0092903,             0.89707,             0.83972,              0.9303,              0.8463,            0.013847,           0.0049677,           0.0033478,           0.0036482,           0.0036482,           0.0036482
                 129,            0.013558,           0.0090935,             0.01172,             0.88915,             0.84712,             0.92988,             0.85222,            0.014756,           0.0049913,           0.0040784,            0.003584,            0.003584,            0.003584
                 130,            0.015762,           0.0090293,            0.010961,             0.90698,             0.76902,             0.91845,             0.83823,            0.013659,           0.0048113,           0.0045902,           0.0035203,           0.0035203,           0.0035203
                 131,            0.015914,           0.0096124,           0.0090133,             0.78972,             0.88393,              0.9169,              0.8379,            0.013182,           0.0047231,           0.0053267,            0.003457,            0.003457,            0.003457
                 132,            0.012725,           0.0090436,           0.0083005,             0.86199,             0.80352,             0.91327,             0.83743,            0.013143,           0.0046403,           0.0090657,           0.0033943,           0.0033943,           0.0033943
                 133,            0.013176,           0.0091764,            0.009079,             0.84012,             0.89635,             0.92462,             0.85107,            0.013594,           0.0046102,           0.0043315,           0.0033321,           0.0033321,           0.0033321
                 134,            0.014303,           0.0089361,            0.007574,             0.80849,             0.86907,             0.91651,             0.85001,            0.013917,           0.0046589,            0.010223,           0.0032704,           0.0032704,           0.0032704
                 135,            0.013488,           0.0083886,            0.008867,             0.85451,             0.83917,             0.92465,             0.85692,            0.013169,           0.0045405,           0.0035259,           0.0032093,           0.0032093,           0.0032093
                 136,            0.014353,           0.0087609,           0.0080314,             0.81042,             0.87907,             0.92061,             0.85049,            0.013267,           0.0046356,           0.0040336,           0.0031488,           0.0031488,           0.0031488
                 137,            0.014759,           0.0089464,           0.0072838,             0.84739,             0.84418,             0.92076,             0.85294,               0.014,           0.0046999,           0.0053584,           0.0030888,           0.0030888,           0.0030888
                 138,            0.014711,           0.0088557,           0.0083892,             0.83793,             0.87638,             0.92393,             0.85603,              0.0138,           0.0047694,           0.0060327,           0.0030294,           0.0030294,           0.0030294
                 139,            0.015091,           0.0091902,           0.0091167,             0.81748,             0.89436,             0.93272,             0.86546,            0.013893,           0.0046808,           0.0027156,           0.0029706,           0.0029706,           0.0029706
                 140,            0.014083,           0.0089002,           0.0091772,             0.88475,             0.84151,             0.92729,             0.85615,            0.013841,           0.0046547,           0.0032729,           0.0029125,           0.0029125,           0.0029125
                 141,            0.013483,           0.0090461,           0.0077131,             0.83231,             0.84128,             0.92626,             0.85464,            0.013657,           0.0046635,           0.0072362,            0.002855,            0.002855,            0.002855
                 142,            0.013979,           0.0089433,           0.0081297,              0.8504,             0.84451,             0.92989,             0.85492,            0.013594,           0.0046411,            0.010203,           0.0027981,           0.0027981,           0.0027981
                 143,            0.014339,           0.0084229,           0.0080703,             0.86859,             0.84268,             0.91663,             0.84723,            0.013928,           0.0046709,           0.0062083,           0.0027419,           0.0027419,           0.0027419
                 144,            0.012904,           0.0088031,           0.0069312,             0.86896,             0.85252,             0.92882,             0.86031,            0.013544,           0.0045944,           0.0035077,           0.0026864,           0.0026864,           0.0026864
                 145,            0.014635,           0.0085287,           0.0064021,              0.8394,             0.88507,             0.93254,             0.86002,            0.013724,           0.0045828,           0.0031499,           0.0026316,           0.0026316,           0.0026316
